Subject,Description,Service,Impact,Status
S3 bucket EXT-5824 access denied for service role,Batch imported ticket for S3 bucket EXT-5824 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5824. User IP: 164.138.6.152,storage,Low,in_progress
Database backup failure for instance EXT-5543 on S3,Batch imported ticket for Database backup failure for instance EXT-5543 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5543. User IP: 153.212.232.251,database,Low,resolved
Load Balancer EXT-5430 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-5430 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-5430. User IP: 94.28.67.189,infrastructure,High,resolved
Unauthorized S3 bucket policy modification on EXT-5341,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-5341. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5341. User IP: 73.125.105.204,security,Low,resolved
Unusual login activity detected for account EXT-5457,Batch imported ticket for Unusual login activity detected for account EXT-5457. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5457. User IP: 196.0.198.187,security,Low,open
API Latency increased for /v1/products/list - EXT-5345,Batch imported ticket for API Latency increased for /v1/products/list - EXT-5345. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5345. User IP: 172.98.47.112,application,Critical,resolved
Disk space low (95%) on shared drive EXT-5767,Batch imported ticket for Disk space low (95%) on shared drive EXT-5767. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5767. User IP: 219.134.14.59,storage,Medium,in_progress
EFS mount failure on instance EXT-5353,Batch imported ticket for EFS mount failure on instance EXT-5353. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5353. User IP: 51.196.182.138,storage,High,open
Postgres slow query optimization needed for EXT-5363,Batch imported ticket for Postgres slow query optimization needed for EXT-5363. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5363. User IP: 208.82.186.169,database,High,open
VPN tunnel EXT-5429 status changed to Down,Batch imported ticket for VPN tunnel EXT-5429 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5429. User IP: 62.31.106.147,network,High,open
Role-based access change request for team EXT-5173,Batch imported ticket for Role-based access change request for team EXT-5173. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-5173. User IP: 32.66.156.193,access,High,in_progress
DNS resolution failure for internal host EXT-5347,Batch imported ticket for DNS resolution failure for internal host EXT-5347. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5347. User IP: 131.192.235.66,network,High,open
Disk space low (95%) on shared drive EXT-5950,Batch imported ticket for Disk space low (95%) on shared drive EXT-5950. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5950. User IP: 182.66.111.104,storage,Medium,open
Role-based access change request for team EXT-5602,Batch imported ticket for Role-based access change request for team EXT-5602. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-5602. User IP: 238.186.53.212,access,Critical,resolved
Wireless AP EXT-5662 offline in South Wing,Batch imported ticket for Wireless AP EXT-5662 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5662. User IP: 194.228.136.40,network,Low,open
VPC Peering connection EXT-5840 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-5840 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-5840. User IP: 62.71.116.204,infrastructure,Medium,open
