Subject,Description,Service,Impact,Status
Disk space low (95%) on shared drive EXT-5050,Batch imported ticket for Disk space low (95%) on shared drive EXT-5050. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5050. User IP: 141.182.192.26,storage,Medium,resolved
Server cluster EXT-4940 high CPU usage warning,Batch imported ticket for Server cluster EXT-4940 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4940. User IP: 149.71.252.239,infrastructure,Low,resolved
Wireless AP EXT-5590 offline in South Wing,Batch imported ticket for Wireless AP EXT-5590 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5590. User IP: 57.104.81.221,network,Low,resolved
Role-based access change request for team EXT-2227,Batch imported ticket for Role-based access change request for team EXT-2227. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-2227. User IP: 169.72.46.244,access,High,resolved
Connection pool exhaustion on microservice EXT-8629,Batch imported ticket for Connection pool exhaustion on microservice EXT-8629. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8629. User IP: 109.108.215.243,database,Critical,open
Role-based access change request for team EXT-3787,Batch imported ticket for Role-based access change request for team EXT-3787. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3787. User IP: 228.159.112.199,access,Low,resolved
Disk space low (95%) on shared drive EXT-8232,Batch imported ticket for Disk space low (95%) on shared drive EXT-8232. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8232. User IP: 1.187.221.230,storage,Critical,open
EFS mount failure on instance EXT-1557,Batch imported ticket for EFS mount failure on instance EXT-1557. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1557. User IP: 110.167.159.49,storage,Medium,resolved
Connection pool exhaustion on microservice EXT-6888,Batch imported ticket for Connection pool exhaustion on microservice EXT-6888. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-6888. User IP: 84.145.219.6,database,High,open
VPN tunnel EXT-3588 status changed to Down,Batch imported ticket for VPN tunnel EXT-3588 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3588. User IP: 17.91.98.25,network,Low,resolved
Connection pool exhaustion on microservice EXT-8344,Batch imported ticket for Connection pool exhaustion on microservice EXT-8344. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8344. User IP: 32.28.181.32,database,Low,resolved
Database backup failure for instance EXT-5038 on S3,Batch imported ticket for Database backup failure for instance EXT-5038 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5038. User IP: 61.33.203.76,database,Medium,open
DNS resolution failure for internal host EXT-8315,Batch imported ticket for DNS resolution failure for internal host EXT-8315. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-8315. User IP: 192.9.63.156,network,Critical,in_progress
